host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,rating
80,75,49.27462,-123.12576,2,1.0,0.0,82.0,89,32,96.0
100,100,49.25315,-123.17653,6,2.0,3.0,88.0,30,163,95.0
100,69,49.25955,-123.15479,4,2.0,2.0,150.0,4,43,97.0
81,64,49.25319,-123.03326,1,1.0,1.0,31.0,30,36,96.0
90,100,49.27272,-123.06948,4,2.0,4.0,150.0,5,84,96.0
100,0,49.26336,-123.1878,4,2.0,2.0,125.0,3,73,95.0
100,91,49.27779,-123.08743,6,3.0,3.0,314.0,30,124,99.0
100,99,49.27812,-123.10039,4,1.0,2.0,102.0,2,285,92.0
100,100,49.25919,-123.16995,4,2.0,2.0,250.0,3,137,100.0
93,36,49.28895,-123.12606,4,2.0,2.0,79.0,30,3,80.0
100,100,49.2347,-123.09793,2,1.0,1.0,101.0,30,36,99.0
80,79,49.23359,-123.04695,1,1.0,1.0,80.0,30,29,98.0
100,90,49.22857,-123.15773,3,1.0,1.0,95.0,2,183,96.0
100,91,49.2477,-123.11188,5,2.0,2.0,145.0,4,99,98.0
100,94,49.26907,-123.17436,6,3.0,3.0,425.0,3,85,100.0
100,100,49.28048,-123.10937,2,1.0,2.0,169.0,1,72,97.0
90,73,49.27922,-123.12049,4,2.0,3.0,250.0,2,139,94.0
100,0,49.26999,-123.16867,3,1.0,2.0,76.0,1,191,99.0
100,100,49.27017,-123.20673,2,1.0,1.0,88.0,3,133,99.0
100,96,49.26045,-123.16306,4,2.0,2.0,195.0,30,30,90.0
10,0,49.26469,-123.10397,6,2.0,2.0,151.0,30,14,97.0
100,100,49.2449,-123.07457,4,2.0,2.0,90.0,2,121,96.0
100,96,49.28021,-123.06581,6,2.0,2.0,189.0,30,14,99.0
100,90,49.28641,-123.11897,3,1.0,2.0,151.0,1,44,99.0
100,90,49.28622,-123.119,2,1.0,1.0,75.0,1,31,97.0
100,96,49.27858,-123.12091,2,1.0,1.0,120.0,2,26,98.0
100,89,49.28256,-123.12658,4,2.0,2.0,279.0,30,29,97.0
